description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Automatically grow and shrink HPC Pack cluster resources,azure-specialized-workloads/hpc/recommendations.yaml,b02b5a0e-3770-44da-a099-5dd4d9f8cd70,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/powershell/high-performance-computing/hpcpack-auto-grow-shrink?view=hpc19-ps'}]","By deploying Azure ""burst"" nodes (both Windows and Linux) in your HPC Pack cluster or creating your HPC Pack cluster in Azure, you can automatically grow or shrink the cluster's resources such as nodes or cores according to the workload on the cluster.
",False,"Efficient, uninterrupted execution",Scalability,Medium,Active,Microsoft.Subscription/subscriptions,,['HPC']
Use multiple head nodes for HPC Pack,azure-specialized-workloads/hpc/recommendations.yaml,a48b1be6-77a3-4e3c-8205-dda2ba010a99,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/powershell/high-performance-computing/hpcpack-ha-cloud?view=hpc19-ps#dealing-with-head-node-failure'}]","Establish a cluster with a minimum of two head nodes. In the event of a head node failure, the active HPC Service will be automatically transferred from the affected head node to another functioning one.
",False,Enhanced reliability for HPC,HighAvailability,Medium,Active,Microsoft.Subscription/subscriptions,,['HPC']
Use HPC Pack Azure AD Integration or other highly available AD configuration,azure-specialized-workloads/hpc/recommendations.yaml,37eec891-7880-4759-b597-7cd925512fe3,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/powershell/high-performance-computing/hpcpack-ha-cloud?view=hpc19-ps#dealing-with-ad-failure'}]","When HPC failed to connect to the Domain controller, admin and user will not be able to connect to the HPC Service thus not able to manage and submit jobs to the cluster.
",False,Enhanced reliability and job management,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['HPC']
Implement Oracle Data Guard replication across availability zones,azure-specialized-workloads/oracle/recommendations.yaml,ccf0fece-27c7-4163-98ce-a1dd982d7f79,False,"[{'name': 'Business continuity and disaster recovery considerations for Oracle Database@Azure', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/oracle-iaas/oracle-disaster-recovery-oracle-database-azure'}]",Oracle Database@Azure follows a Silver-level reference architecture that provides HA by default however it is vulnerable to AZ failures. Gold-level adds Data Guard replication across AZs via Automated DG or manual setup. Use SYNC for zero data loss or ASYNC when performance is constrained.,False,Ensure business continuity in case of zonal failure.,BusinessContinuity,High,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Implement a regional replication strategy for Oracle to meet your workload requirements,azure-specialized-workloads/oracle/recommendations.yaml,dfeb9c7a-7dae-4751-9625-b23a7160a3e1,False,"[{'name': 'Business continuity and disaster recovery considerations for Oracle Database@Azure', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/oracle-iaas/oracle-disaster-recovery-oracle-database-azure'}]","Gold-level reference architecture with Oracle Database@Azure is recommended, meaning that database changes will be replicated via Data Guard (ASYNC replication) to a secondary Oracle Database@Azure instance in a different region.",False,The cloud MAA architecture achieves data protection and DR.,DisasterRecovery,High,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Implement Autonomous Recovery Service in Azure for ODAA backup strategy,azure-specialized-workloads/oracle/recommendations.yaml,0583239a-dfb5-44d4-94db-804bfc8e3bd1,False,"[{'name': 'Business continuity and disaster recovery considerations for Oracle Database@Azure', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/oracle-iaas/oracle-disaster-recovery-oracle-database-azure'}]","Enable OCI-managed backup to Autonomous Recovery Service in Azure for data protection.
ARS provides automated, policy-based backups with continuous validation.
",False,Provide workload data protection.,DisasterRecovery,High,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Monitor critical Oracle Database metrics with defined thresholds and scale accordingly,azure-specialized-workloads/oracle/recommendations.yaml,2322a597-a6af-4c3e-a1b1-d1b1ddead508,False,"[{'name': 'Learn about Manage and monitor Oracle Database@Azure', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/oracle-iaas/oracle-manage-monitor-oracle-database-azure'}]","Monitor database metrics such as CPU utilization and memory usage with Azure Monitor, setting alerts for scaling decisions.
Auto-scaling isn't available on Oracle Exadata Database@Azure.
If needed, scale OCPUs on the VM cluster, if Exa infrastructure capacity allows.
",False,Meet workload scalability requirements.,Scalability,Medium,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Plan and implement IP addressing strategy to meet current and future requirements,azure-specialized-workloads/oracle/recommendations.yaml,1bfdf86c-f501-4ad9-99a7-b29b736f34dc,False,"[{'name': 'Capacity planning for Oracle Database@Azure', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/oracle-iaas/oracle-capacity-planning-oracle-database-azure'}]","Design an IP addressing scheme considering current and future Oracle workload needs to prevent conflicts and ensure availability.
Primary, standby, client, and backup subnets should have non-overlapping CIDR ranges for reliable connectivity.
",False,Avoid conflicts in IP addressing.,OtherBestPractices,Medium,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Deploy Data Guard observer in different Availability zones for high availability,azure-specialized-workloads/oracle/recommendations.yaml,768a5b06-41d4-4f10-b544-fbd2f6999af4,False,"[{'name': 'Business continuity and disaster recovery considerations for Oracle Database@Azure', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/oracle-iaas/oracle-disaster-recovery-oracle-database-azure'}]","Deploy Data Guard observer nodes in different AZs and make sure that an observer node will remain available if anything happens to the Production deployment.
",False,Data Guard observer automates database failover.,BusinessContinuity,High,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Store encryption keys in Azure Key Vault for Exadata workloads,azure-specialized-workloads/oracle/recommendations.yaml,bbe4014f-c49d-475d-9c48-76cb3c190483,False,"[{'name': 'Integrate Oracle Exadata Database@Azure with Azure Key Vault', 'url': 'https://learn.microsoft.com/azure/oracle/oracle-db/manage-oracle-transparent-data-encryption-azure-key-vault'}]","Store Oracle TDE master encryption keys for Exadata workloads in Azure Key Vault to centralize key management, improve security, and support compliance with enterprise-grade controls.
",False,Storing keys in AKV improves security and reliability.,Security,High,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Ensure Oracle Database@Azure Infrastructure is updated in a rolling manner.,azure-specialized-workloads/oracle/recommendations.yaml,02bfe908-d958-451a-a603-bef8277ae56a,False,"[{'name': 'Configure Oracle-Managed Infrastructure Maintenance', 'url': 'https://docs.oracle.com/en-us/iaas/exadatacloud/doc/exa-conf-oracle-man-infra.html'}]","Non-rolling maintenance incurs a downtime.
Automatic infrastructure maintenance occurs quarterly, with Oracle notifying you of the date and time weeks in advance. You can modify the scheduled date and time before maintenance starts.
",False,Keep Oracle workloads up-to-date.,OtherBestPractices,High,Active,Microsoft.Subscription/subscriptions,,['ORACLE']
Ensure that each SAP production system is designed for high availability across availability zones,azure-specialized-workloads/sap/recommendations.yaml,a9b649a5-2bfe-40ca-9b8f-34f9c71dfa12,False,"[{'name': 'High Availability Deployment Options for SAP', 'url': 'https://learn.microsoft.com/azure/sap/workloads/sap-high-availability-architecture-scenarios#high-availability-deployment-options-for-sap-workload'}]","Use Azure Availability Zones to protect SAP systems against data center failures. Ensure high availability by deploying across multiple zones. If deployment across zones isn't possible, refer to Microsoft's guidance for high availability options for SAP workloads.
",True,High availability for SAP systems,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['SAP']
Run SAP application servers on two or more VMs using VMSS Flex,azure-specialized-workloads/sap/recommendations.yaml,49bd34ab-d117-4b0e-99f8-34cc8a5394bc,False,"[{'name': 'Virtual machine Scale Set SAP Deployment Guide', 'url': 'https://learn.microsoft.com/azure/sap/workloads/virtual-machine-scale-set-sap-deployment-guide'}]","Use VMSS Flex to distribute VMs across zones and fault domains. Follow Microsoft's SAP workload recommendations for settings. If not using VMSS Flex or Availability Sets, consider migrating to VMSS Flex for improved resiliency. Refer to the provided blog post for migration details.
",True,Enhanced resiliency for SAP on Azure,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['SAP']
If using single-instance VMs all OS and data disks must be Premium SSD or Ultra Disk,azure-specialized-workloads/sap/recommendations.yaml,b60ae773-9917-4bca-8a42-7cb45365a917,True,"[{'name': 'SAP Storage Planning Guide', 'url': 'https://learn.microsoft.com/azure/sap/workloads/planning-guide-storage'}]","For single-instance VMs, both OS and data disks must be either Premium SSD or Ultra Disk to achieve the single-instance SLA of 99.9% availability.
",True,Higher SLA of 99.9% with SSDs,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,2b5cf6e5-2792-49b2-9ec0-0e901be6488b,['SAP']
Ensure synchronous data replication (SYNC mode) between primary and secondary VM nodes,azure-specialized-workloads/sap/recommendations.yaml,094400a5-f112-408d-a334-afd68873ff0f,False,"[{'name': 'OpenSource Quality Checks', 'url': 'https://github.com/Azure/SAP-on-Azure-Scripts-and-Utilities/tree/main/QualityCheck'}]","High availability for databases should be implemented using database native replication technologies and the data should be replicated synchronously that is in SYNC mode from primary database to a stand-by node.
",True,Ensures high availability for SAP data,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['SAP']
"Design SAP shared file systems for high availability, utilizing availability zones when possible",azure-specialized-workloads/sap/recommendations.yaml,e09ca960-20b7-4831-b85b-83ec84c1390e,False,"[{'name': 'OpenSource Inventory Checks', 'url': 'https://aka.ms/ACESInventoryCheckSAP'}]","SAP shared file systems such as /sapmnt, /usr/trans, interfaces should be made highly available.
In case of Azure File Shares, we recommend that you use ZRS (Zone-redundant storage) and for Azure NetApp Files use Zonal replication for your volumes.
",True,Enhanced data availability for SAP,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['SAP']
Test high availability solutions thoroughly to ensure fail overs work as expected,azure-specialized-workloads/sap/recommendations.yaml,5663a808-56be-49ea-8d5c-c5dfc6925f76,False,"[{'name': 'Test Cases', 'url': 'https://learn.microsoft.com/azure/sap/workloads/sap-hana-high-availability?tabs=lb-portal#test-the-cluster-setup'}]","Test high availability solutions thoroughly, including kernel panic in Linux VMs and fail-back. Ensure zonal failure scenarios for each SAP layer (database, central services, application servers, shared file systems) are zone redundant, meet RPO = 0, and fail over automatically within your RTO.
",True,Ensures SAP Azure's failover reliability,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['SAP']
